team_id,start_season,end_season,arena,city,state,country,latitude,longitude
1610612737,1990,1996,Omni Coliseum,Atlanta,GA,USA,33.7580,-84.3970
1610612737,1997,2017,Philips Arena,Atlanta,GA,USA,33.7573,-84.3963
1610612737,2018,,State Farm Arena,Atlanta,GA,USA,33.7573,-84.3963
1610612738,1990,1994,Boston Garden,Boston,MA,USA,42.3667,-71.0620
1610612738,1995,,TD Garden,Boston,MA,USA,42.3662,-71.0621
1610612739,1990,1993,Richfield Coliseum,Richfield,OH,USA,41.2417,-81.6198
1610612739,1994,,Rocket Mortgage FieldHouse,Cleveland,OH,USA,41.4966,-81.6879
1610612740,1990,2001,Charlotte Coliseum,Charlotte,NC,USA,35.2201,-80.8535
1610612740,2002,,Smoothie King Center,New Orleans,LA,USA,29.9490,-90.0821
1610612741,1990,1993,Chicago Stadium,Chicago,IL,USA,41.8807,-87.6742
1610612741,1994,,United Center,Chicago,IL,USA,41.8807,-87.6742
1610612742,1990,2000,Reunion Arena,Dallas,TX,USA,32.7767,-96.8107
1610612742,2001,,American Airlines Center,Dallas,TX,USA,32.7905,-96.8103
1610612743,1990,1998,McNichols Sports Arena,Denver,CO,USA,39.7438,-105.0201
1610612743,1999,,Ball Arena,Denver,CO,USA,39.7487,-105.0077
1610612744,1990,1996,Oakland Coliseum Arena,Oakland,CA,USA,37.7503,-122.2020
1610612744,1997,2018,Oracle Arena,Oakland,CA,USA,37.7503,-122.2020
1610612744,2019,,Chase Center,San Francisco,CA,USA,37.7680,-122.3878
1610612745,1990,2002,The Summit,Houston,TX,USA,29.6907,-95.4072
1610612745,2003,,Toyota Center,Houston,TX,USA,29.7508,-95.3621
1610612746,1990,1998,Los Angeles Sports Arena,Los Angeles,CA,USA,34.0141,-118.2879
1610612746,1999,2023,Staples Center,Los Angeles,CA,USA,34.0430,-118.2673
1610612746,2024,,Intuit Dome,Inglewood,CA,USA,33.9425,-118.3413
1610612747,1990,1998,Great Western Forum,Inglewood,CA,USA,33.9581,-118.3418
1610612747,1999,,Crypto.com Arena,Los Angeles,CA,USA,34.0430,-118.2673
1610612748,1990,1998,Miami Arena,Miami,FL,USA,25.7887,-80.2000
1610612748,1999,,Kaseya Center,Miami,FL,USA,25.7814,-80.1870
1610612749,1990,2017,Bradley Center,Milwaukee,WI,USA,43.0436,-87.9169
1610612749,2018,,Fiserv Forum,Milwaukee,WI,USA,43.0451,-87.9174
1610612750,1990,,Target Center,Minneapolis,MN,USA,44.9795,-93.2761
1610612751,1990,2009,Continental Airlines Arena,East Rutherford,NJ,USA,40.8135,-74.0744
1610612751,2010,2011,Prudential Center,Newark,NJ,USA,40.7336,-74.1710
1610612751,2012,,Barclays Center,Brooklyn,NY,USA,40.6826,-73.9754
1610612752,1990,,Madison Square Garden,New York,NY,USA,40.7505,-73.9934
1610612753,1990,2009,Orlando Arena,Orlando,FL,USA,28.5392,-81.3839
1610612753,2010,,Amway Center,Orlando,FL,USA,28.5392,-81.3839
1610612754,1990,1998,Market Square Arena,Indianapolis,IN,USA,39.7677,-86.1531
1610612754,1999,,Gainbridge Fieldhouse,Indianapolis,IN,USA,39.7639,-86.1555
1610612755,1990,1995,The Spectrum,Philadelphia,PA,USA,39.9046,-75.1719
1610612755,1996,,Wells Fargo Center,Philadelphia,PA,USA,39.9012,-75.1720
1610612756,1990,1991,Arizona Veterans Memorial Coliseum,Phoenix,AZ,USA,33.4528,-112.0879
1610612756,1992,,Footprint Center,Phoenix,AZ,USA,33.4457,-112.0712
1610612757,1990,1994,Memorial Coliseum,Portland,OR,USA,45.5327,-122.6653
1610612757,1995,,Moda Center,Portland,OR,USA,45.5316,-122.6668
1610612758,1990,2015,ARCO Arena,Sacramento,CA,USA,38.6493,-121.5183
1610612758,2016,,Golden 1 Center,Sacramento,CA,USA,38.5802,-121.4997
1610612759,1990,1992,HemisFair Arena,San Antonio,TX,USA,29.4238,-98.4770
1610612759,1993,2001,Alamodome,San Antonio,TX,USA,29.4169,-98.4770
1610612759,2002,,Frost Bank Center,San Antonio,TX,USA,29.4269,-98.4375
1610612760,1990,2007,KeyArena,Seattle,WA,USA,47.6221,-122.3540
1610612760,2008,,Paycom Center,Oklahoma City,OK,USA,35.4634,-97.5151
1610612761,1995,1998,SkyDome,Toronto,ON,Canada,43.6414,-79.3894
1610612761,1999,,Scotiabank Arena,Toronto,ON,Canada,43.6435,-79.3791
1610612762,1990,1990,Salt Palace,Salt Lake City,UT,USA,40.7686,-111.9011
1610612762,1991,,Delta Center,Salt Lake City,UT,USA,40.7683,-111.9011
1610612763,1995,2000,General Motors Place,Vancouver,BC,Canada,49.2778,-123.1088
1610612763,2001,2003,The Pyramid,Memphis,TN,USA,35.1580,-90.0526
1610612763,2004,,FedExForum,Memphis,TN,USA,35.1382,-90.0505
1610612764,1990,1996,Capital Centre,Landover,MD,USA,38.9345,-76.8497
1610612764,1997,,Capital One Arena,Washington,DC,USA,38.8981,-77.0209
1610612765,1990,2016,The Palace of Auburn Hills,Auburn Hills,MI,USA,42.6997,-83.2455
1610612765,2017,,Little Caesars Arena,Detroit,MI,USA,42.3411,-83.0553
1610612766,2004,2004,Charlotte Coliseum,Charlotte,NC,USA,35.2201,-80.8535
1610612766,2005,,Spectrum Center,Charlotte,NC,USA,35.2251,-80.8392
