name,city,state,country,latitude,longitude
Giants Stadium,East Rutherford,NJ,USA,40.8170,-74.0738
Cotton Bowl,Dallas,TX,USA,32.7796,-96.7596
Foxboro Stadium,Foxborough,MA,USA,42.0909,-71.2642
Mile High Stadium,Denver,CO,USA,39.7440,-105.0192
Ohio Stadium,Columbus,OH,USA,40.0016,-83.0197
Houlihan's Stadium,Tampa,FL,USA,27.9760,-82.5034
Lockhart Stadium,Fort Lauderdale,FL,USA,26.1932,-80.1607
Rice-Eccles Stadium,Salt Lake City,UT,USA,40.7599,-111.8489
Community America Ballpark,Kansas City,KS,USA,39.1245,-94.8309
Robertson Stadium,Houston,TX,USA,29.7208,-95.3441
Cardinal Stadium,Naperville,IL,USA,41.7694,-88.1458
Dragon Stadium,Southlake,TX,USA,32.9299,-97.1120
Oakland Coliseum,Oakland,CA,USA,37.7516,-122.2005
NRG Stadium,Houston,TX,USA,29.6849,-95.4108
AT&T Stadium,Arlington,TX,USA,32.7479,-97.0928
Miami Orange Bowl,Miami,FL,USA,25.7781,-80.2196
Empire Field,Vancouver,BC,Canada,49.2858,-123.0427
Spartan Stadium,San Jose,CA,USA,37.3197,-121.8683
Raymond James Stadium,Tampa,FL,USA,27.9760,-82.5034
Arrowhead Stadium,Kansas City,MO,USA,39.0489,-94.4840
Rose Bowl,Pasadena,CA,USA,34.1613,-118.1677
Los Angeles Memorial Coliseum,Los Angeles,CA,USA,34.0139,-118.2878
Empower Field at Mile High,Denver,CO,USA,39.7440,-105.0192
FirstEnergy Stadium,Cleveland,OH,USA,41.5061,-81.6997
M&T Bank Stadium,Baltimore,MD,USA,39.2780,-76.6227
Miami Freedom Park,Miami,FL,USA,25.7903,-80.2601
Snapdragon Stadium,San Diego,CA,USA,32.7842,-117.1224
