stadium_id,name,city,state,country,latitude,longitude
ATL00,Georgia Dome,Atlanta,GA,USA,33.7573,-84.4006
ATL97,Mercedes-Benz Stadium,Atlanta,GA,USA,33.7554,-84.4009
BAL00,M&T Bank Stadium,Baltimore,MD,USA,39.2780,-76.6227
BOS00,Gillette Stadium,Foxborough,MA,USA,42.0909,-71.2643
BOS99,Foxboro Stadium,Foxborough,MA,USA,42.0654,-71.2571
BRG00,Tiger Stadium (LSU),Baton Rouge,LA,USA,30.4118,-91.1839
BUF00,Highmark Stadium,Orchard Park,NY,USA,42.7738,-78.7869
BUF01,Rogers Centre,Toronto,ON,Canada,43.6414,-79.3894
CAR00,Bank of America Stadium,Charlotte,NC,USA,35.2258,-80.8528
CHI98,Soldier Field,Chicago,IL,USA,41.8623,-87.6167
CHI99,Memorial Stadium (Champaign),Champaign,IL,USA,40.0996,-88.2361
CIN00,Paycor Stadium,Cincinnati,OH,USA,39.0955,-84.5160
CIN99,Cinergy Field,Cincinnati,OH,USA,39.0975,-84.5164
CLE00,Huntington Bank Field,Cleveland,OH,USA,41.5061,-81.6995
DAL00,AT&T Stadium,Arlington,TX,USA,32.7473,-97.0945
DAL99,Texas Stadium,Irving,TX,USA,32.8407,-96.9111
DEN00,Empower Field at Mile High,Denver,CO,USA,39.7439,-105.0201
DEN99,Mile High Stadium,Denver,CO,USA,39.7444,-105.0201
DET00,Ford Field,Detroit,MI,USA,42.3400,-83.0456
DET99,Pontiac Silverdome,Pontiac,MI,USA,42.6297,-83.2578
FRA00,Deutsche Bank Park,Frankfurt,,Germany,50.0685,8.6455
GER00,Allianz Arena,Munich,,Germany,48.2188,11.6247
GNB00,Lambeau Field,Green Bay,WI,USA,44.5013,-88.0622
HOU00,NRG Stadium,Houston,TX,USA,29.6847,-95.4107
IND00,Lucas Oil Stadium,Indianapolis,IN,USA,39.7601,-86.1639
IND99,RCA Dome,Indianapolis,IN,USA,39.7633,-86.1608
JAX00,EverBank Stadium,Jacksonville,FL,USA,30.3239,-81.6373
KAN00,Arrowhead Stadium,Kansas City,MO,USA,39.0489,-94.4839
LAX01,SoFi Stadium,Inglewood,CA,USA,33.9535,-118.3392
LAX97,Dignity Health Sports Park,Carson,CA,USA,33.8644,-118.2611
